"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 22:59:36 GMT 2024","Tue Nov 12 22:59:40 GMT 2024","4519","chromium","unilab/UI/desktop/product.spec.ts","","","","Работа кнопки 'в корзину' внутри карточки услуги",""
"passed","Tue Nov 12 23:00:05 GMT 2024","Tue Nov 12 23:00:08 GMT 2024","2845","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Отсутствие скролла страници при открытом бургер-меню в мобильной версии",""
"passed","Tue Nov 12 22:59:05 GMT 2024","Tue Nov 12 22:59:08 GMT 2024","2942","chromium","unilab/UI/desktop/main.spec.ts","","","","загрузка изображение слайдов",""
"passed","Tue Nov 12 22:57:32 GMT 2024","Tue Nov 12 22:57:36 GMT 2024","3542","chromium","unilab/UI/desktop/feedback.spec.ts","","","","Удалить номер телефона на странице 'оставить отзыв'",""
"passed","Tue Nov 12 23:00:20 GMT 2024","Tue Nov 12 23:00:23 GMT 2024","3561","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Поиск города в мобильной версии",""
"passed","Tue Nov 12 22:58:19 GMT 2024","Tue Nov 12 22:58:22 GMT 2024","2844","chromium","unilab/UI/desktop/header.spec.ts","","","","сокрытие попапа при количестве введенных символов меньше трех",""
"passed","Tue Nov 12 22:57:06 GMT 2024","Tue Nov 12 22:57:12 GMT 2024","5744","chromium","unilab/UI/desktop/addresses.spec.ts","","","","поле ввода даты формы на странице отзыва о филиале",""
"failed","Tue Nov 12 22:59:25 GMT 2024","Tue Nov 12 22:59:32 GMT 2024","7755","chromium","unilab/UI/desktop/main.spec.ts","","","","кнопки переключение слайдов на главной странице",""
"passed","Tue Nov 12 22:57:28 GMT 2024","Tue Nov 12 22:57:32 GMT 2024","4315","chromium","unilab/UI/desktop/feedback.spec.ts","","","","Маска ввода номера телефона на странице 'оставить отзыв'",""
"passed","Tue Nov 12 22:59:33 GMT 2024","Tue Nov 12 22:59:36 GMT 2024","2733","chromium","unilab/UI/desktop/main.spec.ts","","","","Проверка точек слайдов на главной странице",""
"failed","Tue Nov 12 22:59:01 GMT 2024","Tue Nov 12 22:59:04 GMT 2024","2740","chromium","unilab/UI/desktop/main.spec.ts","","","","Кнопка “вернуться наверх страницы” появляющаяся при скролле на десктопной версии",""
"passed","Tue Nov 12 22:57:16 GMT 2024","Tue Nov 12 22:57:20 GMT 2024","4079","chromium","unilab/UI/desktop/collection.spec.ts","","","","Работа кнопки 'в корзину' на странице 'мед услуги' в списке",""
"passed","Tue Nov 12 22:58:14 GMT 2024","Tue Nov 12 22:58:19 GMT 2024","4900","chromium","unilab/UI/desktop/header.spec.ts","","","","негативное Отображение попапа результатов поиска",""
"passed","Tue Nov 12 23:00:23 GMT 2024","Tue Nov 12 23:00:27 GMT 2024","3950","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Отсутствие результата поиска города",""
"passed","Tue Nov 12 22:57:46 GMT 2024","Tue Nov 12 22:57:49 GMT 2024","2769","chromium","unilab/UI/desktop/header.spec.ts","","","","Отображение меню выбора города",""
"passed","Tue Nov 12 22:57:36 GMT 2024","Tue Nov 12 22:57:39 GMT 2024","2728","chromium","unilab/UI/desktop/header.spec.ts","","","","Изменение шапки при скролле",""
"passed","Tue Nov 12 22:59:40 GMT 2024","Tue Nov 12 22:59:44 GMT 2024","3801","chromium","unilab/UI/desktop/questionDoctor.spec.ts","","","","Подсчет количества введенных символов в поле ввода текста вопросу доктору",""
"passed","Tue Nov 12 22:57:55 GMT 2024","Tue Nov 12 22:57:58 GMT 2024","2812","chromium","unilab/UI/desktop/header.spec.ts","","","","Отсутствие результата поиска города",""
"passed","Tue Nov 12 22:58:04 GMT 2024","Tue Nov 12 22:58:07 GMT 2024","3078","chromium","unilab/UI/desktop/header.spec.ts","","","","смена размера шрифта для слабовидящих",""
"passed","Tue Nov 12 22:58:07 GMT 2024","Tue Nov 12 22:58:10 GMT 2024","3016","chromium","unilab/UI/desktop/header.spec.ts","","","","смена цветовой схемы для слабовидящих",""
"passed","Tue Nov 12 22:57:20 GMT 2024","Tue Nov 12 22:57:24 GMT 2024","3515","chromium","unilab/UI/desktop/feedback.spec.ts","","","","Подсчет количества введенных символов в поле ввода текста оставить отзыв",""
"passed","Tue Nov 12 23:00:08 GMT 2024","Tue Nov 12 23:00:11 GMT 2024","3005","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Анимация изменения ширины поля ввода поиска при фокусе в мобильной версии",""
"failed","Tue Nov 12 22:58:46 GMT 2024","Tue Nov 12 22:58:54 GMT 2024","7718","chromium","unilab/UI/desktop/main.spec.ts","","","","Отображение попапа согласия на использование кук при не установленных куках",""
"passed","Tue Nov 12 23:00:27 GMT 2024","Tue Nov 12 23:00:32 GMT 2024","4971","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Отображение попапа результатов поиска при количестве введенных символов больше двух",""
"passed","Tue Nov 12 22:58:22 GMT 2024","Tue Nov 12 22:58:25 GMT 2024","2824","chromium","unilab/UI/desktop/header.spec.ts","","","","Сокрытие попапа результата поиска при клике во вне попапа",""
"passed","Tue Nov 12 22:57:58 GMT 2024","Tue Nov 12 22:58:01 GMT 2024","2971","chromium","unilab/UI/desktop/header.spec.ts","","","","Сброс результатов поиска города при закрытии попапа выбора города",""
"passed","Tue Nov 12 23:00:02 GMT 2024","Tue Nov 12 23:00:05 GMT 2024","3642","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Работа переключателя темной/светлой версии в бургер-меню в мобильной версии",""
"passed","Tue Nov 12 22:59:59 GMT 2024","Tue Nov 12 23:00:02 GMT 2024","2783","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Закрытие бургер-меню в мобильной версии",""
"passed","Tue Nov 12 22:57:52 GMT 2024","Tue Nov 12 22:57:55 GMT 2024","2768","chromium","unilab/UI/desktop/header.spec.ts","","","","Поиск города",""
"passed","Tue Nov 12 22:58:01 GMT 2024","Tue Nov 12 22:58:04 GMT 2024","3016","chromium","unilab/UI/desktop/header.spec.ts","","","","Отображение меню Для слабовидящих для десктопной версии",""
"passed","Tue Nov 12 22:57:42 GMT 2024","Tue Nov 12 22:57:46 GMT 2024","3891","chromium","unilab/UI/desktop/header.spec.ts","","","","Анимация изменения ширины поля ввода поиска при фокусе в десктопной версии",""
"passed","Tue Nov 12 23:00:15 GMT 2024","Tue Nov 12 23:00:20 GMT 2024","4722","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Выбор города в мобильной версии",""
"passed","Tue Nov 12 23:00:11 GMT 2024","Tue Nov 12 23:00:15 GMT 2024","3561","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Отображение меню выбора города в мобильной версии",""
"passed","Tue Nov 12 22:57:49 GMT 2024","Tue Nov 12 22:57:52 GMT 2024","3409","chromium","unilab/UI/desktop/header.spec.ts","","","","Выбор города",""
"passed","Tue Nov 12 23:00:32 GMT 2024","Tue Nov 12 23:00:37 GMT 2024","4770","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","негативное Отображение попапа результатов поиска",""
"passed","Tue Nov 12 22:58:25 GMT 2024","Tue Nov 12 22:58:29 GMT 2024","4293","chromium","unilab/UI/desktop/header.spec.ts","","","","Переход на страницу результата поиска при нажатии клавиши Enter",""
"passed","Tue Nov 12 22:57:39 GMT 2024","Tue Nov 12 22:57:42 GMT 2024","3160","chromium","unilab/UI/desktop/header.spec.ts","","","","Скрытие попапа при клике на оверлей",""
"passed","Tue Nov 12 22:59:44 GMT 2024","Tue Nov 12 22:59:49 GMT 2024","4976","chromium","unilab/UI/desktop/questionDoctor.spec.ts","","","","отображение подсказки поля ввода номера заказа вопрос доктору",""
"passed","Tue Nov 12 22:59:50 GMT 2024","Tue Nov 12 22:59:56 GMT 2024","6554","chromium","unilab/UI/mobile/footerMobile.spec.ts","","","","Работа аккордеона в футтере в мобильной версии",""
"passed","Tue Nov 12 22:59:56 GMT 2024","Tue Nov 12 22:59:59 GMT 2024","2726","chromium","unilab/UI/mobile/headerMobile.spec.ts","","","","Открытие бургер-меню в мобильной версии",""
"passed","Tue Nov 12 22:58:10 GMT 2024","Tue Nov 12 22:58:14 GMT 2024","4793","chromium","unilab/UI/desktop/header.spec.ts","","","","Отображение попапа результатов поиска при количестве введенных символов больше двух",""
"passed","Tue Nov 12 22:57:24 GMT 2024","Tue Nov 12 22:57:28 GMT 2024","4323","chromium","unilab/UI/desktop/feedback.spec.ts","","","","отображение подсказки поля ввода номера заказа оставить отзыв",""
"passed","Tue Nov 12 22:57:12 GMT 2024","Tue Nov 12 22:57:16 GMT 2024","4182","chromium","unilab/UI/desktop/collection.spec.ts","","","","Работа кнопки 'в корзину' на странице 'анализы' в списке",""
